,value
acc_lg,0.825
acc_lg_bs,0.485
acc_crc_burns,0.53
acc_crc_bs_burns,0.54
acc_crc_cluster,0.5325
acc_crc_bs_cluster,0.5175000000000001
ccs_burns sent_accs (mean),0.5241
ccs_burns sent_accs (std),0.01478817094843037
ccs_burns bs_accs (mean),0.5232
ccs_burns bs_accs (std),0.004214261501141089
ccs_cluster sent_accs (mean),0.5113500000000001
ccs_cluster sent_accs (std),0.002702313823374325
ccs_cluster bs_accs (mean),0.51895
ccs_cluster bs_accs (std),0.008125423065908624
