,value
acc_lg,0.9475
acc_lg_bs,0.4975
acc_crc_burns,0.9425
acc_crc_bs_burns,0.5225
acc_crc_cluster,0.9425
acc_crc_bs_cluster,0.5175000000000001
ccs_burns sent_accs (mean),0.9459000000000001
ccs_burns sent_accs (std),0.0036660605559646784
ccs_burns bs_accs (mean),0.5154
ccs_burns bs_accs (std),0.0033301651610693466
ccs_cluster sent_accs (mean),0.9455500000000001
ccs_cluster sent_accs (std),0.003545772130298284
ccs_cluster bs_accs (mean),0.5163500000000001
ccs_cluster bs_accs (std),0.0034716710673679883
