,value
acc_lg,0.915
acc_lg_bs,0.5025
acc_crc_burns,0.64
acc_crc_bs_burns,0.5325
acc_crc_cluster,0.6325000000000001
acc_crc_bs_cluster,0.53
ccs_burns sent_accs (mean),0.5955
ccs_burns sent_accs (std),0.13583077707206123
ccs_burns bs_accs (mean),0.524
ccs_burns bs_accs (std),0.007516648189186456
ccs_cluster sent_accs (mean),0.6042500000000001
ccs_cluster sent_accs (std),0.14402191673491918
ccs_cluster bs_accs (mean),0.52055
ccs_cluster bs_accs (std),0.008635537041782647
