,value
acc_lg,0.92
acc_lg_bs,0.5325
acc_crc_burns,0.5175
acc_crc_bs_burns,1.0
acc_crc_cluster,0.81
acc_crc_bs_cluster,0.5775
ccs_burns sent_accs (mean),0.5125
ccs_burns sent_accs (std),0.0
ccs_burns bs_accs (mean),0.52
ccs_burns bs_accs (std),0.0
ccs_cluster sent_accs (mean),0.7343500000000001
ccs_cluster sent_accs (std),0.0500769657627137
ccs_cluster bs_accs (mean),0.5985499999999999
ccs_cluster bs_accs (std),0.058826205894992066
