,value
acc_lg,0.8325
acc_lg_bs,0.485
acc_crc_burns,0.515
acc_crc_bs_burns,0.5225
acc_crc_cluster,0.52
acc_crc_bs_cluster,0.5225
ccs_burns sent_accs (mean),0.52585
ccs_burns sent_accs (std),0.016329497848984832
ccs_burns bs_accs (mean),0.51625
ccs_burns bs_accs (std),0.009890020222426254
ccs_cluster sent_accs (mean),0.52605
ccs_cluster sent_accs (std),0.018398980950041773
ccs_cluster bs_accs (mean),0.5146499999999999
ccs_cluster bs_accs (std),0.008031344843797961
