,value
acc_lg,0.875
acc_lg_bs,0.49
acc_crc_burns,0.505
acc_crc_bs_burns,0.965
acc_crc_cluster,0.6975
acc_crc_bs_cluster,0.6475
ccs_burns sent_accs (mean),0.5056999999999999
ccs_burns sent_accs (std),0.0013266499161421763
ccs_burns bs_accs (mean),0.9645000000000001
ccs_burns bs_accs (std),0.0009999999999999788
ccs_cluster sent_accs (mean),0.6655
ccs_cluster sent_accs (std),0.10174109297624044
ccs_cluster bs_accs (mean),0.543
ccs_cluster bs_accs (std),0.03187475490101845
