,value
acc_lg,0.9075
acc_lg_bs,0.505
acc_crc_burns,0.5025
acc_crc_bs_burns,1.0
acc_crc_cluster,0.815
acc_crc_bs_cluster,0.6025
ccs_burns sent_accs (mean),0.5
ccs_burns sent_accs (std),0.0
ccs_burns bs_accs (mean),0.5025
ccs_burns bs_accs (std),0.0
ccs_cluster sent_accs (mean),0.7271
ccs_cluster sent_accs (std),0.1322510491451769
ccs_cluster bs_accs (mean),0.5496
ccs_cluster bs_accs (std),0.04714700414660512
